community	gene
0	SLC6A15
0	CENPP
0	LRRC66
0	BCAS2
0	KCTD3
0	FGF7
0	ENY2
0	ENSG00000270099
0	JRKL
0	RRM1
0	PCDH9
0	NUDT6
0	ENSG00000226690
0	ARL5B
0	LRRC31
0	CUX2
0	PPP2R5A
0	ASB8
0	GPR83
0	CLTCL1
0	DLD
0	CBX5
0	FNBP1L
0	HVCN1
0	STAM2
0	TMPO
0	GAS2
0	WASHC3
0	NME7
0	KLRF1
0	ZCWPW2
0	LONRF2
0	SCG3
0	DAZAP1
0	YES1
0	TCN1
0	ANO6
0	RAB40AL
0	SLC44A1
0	KIAA0825
0	CLCA1
0	ANKFY1
0	PTER
0	ZNF619
0	KLF10
0	RAB12
0	MRPL16
0	FAM162B
0	MTPN
0	SP3
0	PAQR3
0	OR5BS1P
0	MIXL1
0	ENSG00000285777
0	AKAP7
0	OCM
0	VPS29
0	FBXO40
0	EFCAB13
0	SLC66A3
0	CSNK1G1
0	VOPP1
0	ENC1
0	CABCOCO1
0	THRAP3
0	DNAI4
0	KPNA1
0	MUC19
0	ERLIN1
0	C4orf36
0	PSMD4
0	ASCC3
0	RRN3
0	RNF183
0	CACNB4
0	DNA2
0	RPL37A
0	STMP1
0	WDR35
0	CCN6
0	LOXL4
0	TMEM232
0	ABCA10
0	SMIM15
0	PKHD1L1
0	SGK1
0	RNF138
0	GLIPR1L1
0	B3GALT5
0	ZDHHC22
0	ROS1
0	CCNJ
0	DCTN6
0	SGO1
0	NOMO3
0	ADH7
0	LARP1
0	KCNMB3
0	AP3B2
0	ITGB8
0	APBA2
0	ATP6V1C1
0	ZZZ3
0	BCL2L2
0	ZBTB10
0	MID1IP1
0	ZC3H15
0	CFAP97
0	PHC2
0	CCSER2
0	CA8
0	ZNF217
0	DIRAS3
0	PSMB7
0	WWC2
0	KCNK1
0	ITGA2
0	VRK1
0	MAPK1
1	SYS1
1	PPP2R3C
1	RPL22
1	CABIN1
1	NPW
1	LIMS3
1	SPINT2
1	PCDHA11
1	OSGEP
1	APEX1
1	DMRTA2
1	HPSE2
1	ENSG00000284337
1	SAP30
1	NIPA2
1	TCTA
1	ZBBX
1	AARSD1
1	PLA2G1B
1	OCM2
1	MOV10L1
1	DSCAM
1	CELF4
1	ACRBP
1	PEX11G
1	GPA33
1	CHRM3
1	ASCL4
1	H2AC21
1	KIR2DL1
1	E2F8
1	TMEM221
1	BIK
1	VMO1
1	TM4SF19
1	DCT
1	C9orf50
1	ITIH5
1	VPS50
1	ENSG00000288658
1	HM13
1	C10orf53
1	MLH3
1	SPX
1	MEGF10
1	NEU4
1	GPR101
1	TMEM271
1	PIM3
1	ADAT3
1	ARSA
1	WNT8B
1	CCKBR
1	DYDC1
1	L1TD1
1	MRFAP1L1
1	PLA2G2F
1	RHBDF2
1	CLN8
1	RPL10
1	GOLGA8A
1	RTP5
1	EIF3K
1	NLRP4
1	ZNF511
1	TERB1
1	ENSG00000256861
1	PDE1A
1	KLHDC10
1	ATOH1
1	EXOSC5
1	PHYHIP
1	SBNO2
1	TLR7
1	ACOX2
1	GET4
1	KRTAP10-4
1	SLC25A38
1	CLUH
1	PRKAR1B
1	QTRT1
1	ENSG00000290318
1	ADRA1A
1	FAM43B
1	IQCC
1	DYRK3
1	ANKRD36
1	SPART
1	NUP50
1	PALD1
1	TSPAN32
1	SUPV3L1
1	GCHFR
1	CBFA2T3
1	TAF1C
1	NFIX
1	SPEN
1	MOS
1	CHI3L1
1	DNAJC8
1	NUTM1
1	NOP10
1	SPACA7
1	LRRC59
1	KLC4
1	PAXBP1
1	IFNL4
1	FGF3
1	BABAM2
1	DMRT2
1	CFHR5
1	CCDC197
1	MMS19
1	SLC22A14
1	INO80E
1	PDPN
1	PCDHB6
1	DENND2C
1	PRRC2C
1	HAVCR1
1	CHMP2A
1	DLL3
1	GRK1
1	ATPAF1
1	TPTEP2-CSNK1E
1	MS4A15
1	PARVB
1	CLUAP1
1	PDE9A
1	VPS33A
1	EIF4B
1	OSTN
1	ANKRD36C
1	GUCY2D
1	KCNJ12
1	YBEY
1	ZCWPW1
1	CSF1R
1	NUP62CL
1	ME3
1	MRFAP1
1	KMT2C
1	CDKL3
1	UBE2B
1	EDAR
1	LRP2
1	WDR36
1	SCN4A
1	MEF2C
1	CTRB1
1	F8
1	ADPRHL1
1	TTI1
1	GOLGA6B
1	DDX21
1	AXIN1
1	PARD3
1	FXR1
1	SLC17A9
1	RPRML
1	ZNF705G
1	FBXW5
1	ZNG1B
1	CLCA2
1	APOA1
1	CYP27C1
1	FMR1NB
1	JAG2
1	ANKRD29
1	SUFU
1	NINJ2
1	CDKN1A
1	RBPMS
1	PPDPF
1	SETD9
1	DEF6
1	PNPLA7
1	MAGOHB
1	POU5F1
1	PRPH2
1	TAF12
1	PPFIBP1
1	COX18
1	MFSD1
1	BMPR2
1	PRKCZ
1	PCDHAC2
1	C1orf100
1	PADI1
1	PKIB
1	MAP4K1
1	PTK6
1	TNPO2
1	CAMK2D
1	SPATA32
1	ZZZ3
1	ATP6V0A4
1	ZCCHC14
1	ZNF750
1	DYNC1H1
1	PRIM2
