TF	community
ALX3	0
SHOX	0
LHX2	0
Dlx3	0
UNCX	0
RAX2	0
ARNT2	1
HES2	1
SOHLH2	1
MLX	1
HEY2	1
USF2	1
ASCL1	2
TCF4	2
MYOD1	2
Ptf1A	3
TCF12	2
TCF3	2
ATF2	4
CREB1	4
JUN::JUNB	4
FOSL2::JUN	4
FOSL2::JUND	4
CREM	4
ATF4	4
FOSL2::JUNB	4
FOS	4
JDP2	4
ATF6	4
CREB3L1	4
ATF7	4
XBP1	4
Alx4	5
MEOX2	5
GBX1	5
VSX1	5
VSX2	5
Lhx1	5
Ar	6
DMRTC2	6
NR3C1	6
Arid5a	27
ZNF35	27
TEF	27
TCF7L1	27
FOXB1	8
FOXA1	8
Arntl	9
MLXIPL	9
Ascl2	3
ERF::NHLH1	3
MYF5	3
Bhlha15	3
Atf1	10
JUNB	10
Atf3	11
FOSL1::JUN	11
BACH1	11
BATF::JUN	11
BATF	11
BATF3	11
Atoh1	12
Neurod2	12
GATA1::TAL1	11
NEUROD1	12
TWIST1	12
FOSB::JUNB	11
FOSL1	11
FOS::JUNB	11
FOSL1::JUNB	11
BCL11A	3
MYOG	3
NR2F6	13
CTCF	3
RARA::RXRG	13
Zic3	3
BCL6	14
ZNF175	14
BHLHA15	15
OLIG2	15
OLIG3	15
NEUROG2	15
OLIG1	15
BHLHE22	15
BHLHE23	15
TCF21	15
BHLHE40	16
BHLHE41	4
Creb3l2	4
MYC	16
MYCN	16
CREB3L4	4
HES5	4
EPAS1	4
BNC2	11
MAFK	11
Jun	11
MAFG::NFE2L1	11
Bach1::Mafk	17
MAF::NFE2	17
Bcl11B	16
Gli1	18
ZBTB7C	16
RUNX3	16
ZNF8	27
ZNF317	3
CDX2	8
Yy1	8
Hoxd13	8
Hoxa13	8
HOXB13	8
FOXD3	8
CEBPA	27
CEBPG	27
CEBPD	27
CEBPB	21
HOXA9	21
Hmx1	21
CEBPE	21
POU5F1	27
POU2F3	27
HLF	27
CLOCK	22
MXI1	22
CREB3	4
ZNF740	23
ZNF549	3
ZNF263	23
CTCFL	23
Zfp961	24
GLIS2	24
CUX1	25
ONECUT3	25
PAX3	25
ONECUT1	25
Pax7	25
CUX2	25
NFYA	12
Creb5	26
GMEB2	26
Crx	27
ZNF257	27
PHOX2B	27
ZNF410	27
SATB1	27
OTX2	27
DBP	27
NFIL3	27
ZNF211	27
SRF	27
DPRX	28
Zfp335	28
Dlx2	5
VAX1	5
Dlx5	5
Shox2	0
ISL2	0
Dlx4	0
Dux	29
SOX4	29
E2F1	30
E2F4	30
E2F3	30
E2F2	30
E2F6	24
KLF10	24
SP1	24
KLF14	24
TFDP1	24
SP2	24
E2F8	24
KLF12	24
KLF15	24
ZNF610	24
EBF1	23
Plagl1	23
ZBTB24	3
EBF3	23
Ebf2	23
Ebf4	23
EGR1	31
SP9	31
SP8	31
SP3	31
KLF16	31
EGR4	31
EGR2	31
EGR3	31
KLF13	31
EHF	14
GABPA	14
Ikzf3	14
Erg	14
ELF1	14
ELF3	14
ELF2	32
ETV1	14
ZBTB7A	32
ZBTB11	32
Zbtb2	32
Elf5	14
ELF4	33
SPDEF	33
ELK1	32
HOXB2::ELK1	32
ELK1::HOXA1	32
ETV5::HOXA2	32
ELK1::HOXB13	32
FLI1::DRGX	32
ELK1::SREBF2	32
ELK3	32
FEV	32
ETV5	32
ETV3	32
EOMES	18
ZSCAN4	18
TBX2	18
Tbx6	18
TBX19	18
MGA	18
ERF::FIGLA	3
ETV5::FIGLA	3
TFAP4::ETV1	3
ETV2::FIGLA	3
ERF::FOXI1	14
FOXO1::ELF1	14
FOXJ2::ELF1	14
FLI1::FOXI1	14
ETV5::FOXI1	14
ETV2::FOXI1	14
ERF::HOXB13	34
PRDM9	34
ZNF93	24
ERF::SREBF2	16
SREBF1	16
ESR2	13
